Language;Family;Code
English;Indo-European;eng
Spanish;Indo-European;spa
Catalan;Indo-European;cat
Arabic;Afro-Asiatic;ara
Indonesian;Austronesian;ind
Turkish;Turkic;tur
Chinese;Sino-Tibetan;zho
Tamil;Dravidian;tam
Basque;Language isolate;eus
